order_id,customer_name,restaurant,food_item,order_amount,delivery_time
50,Siddharth Zacharia,Taj Mahal,Paneer Tikka,281.37,27
51,Devika Rastogi,Noodle Paradise,Chow Mein,146.41,18
52,Raksha Varughese,Dragon Wok,Hakka Noodles,159.35,40
53,Jai Kota,Pasta Corner,Lasagna,135.68,16
54,Devansh Nigam,Noodle Paradise,Chow Mein,209.43,36
55,Victor Kannan,Burger King,Whopper Burger,353.01,51
56,Ekavir Bhargava,Pizza Hut,Cheese Pizza,231.18,31
57,Ekansh Balay,Pasta Corner,Spaghetti Carbonara,161.9,22
58,Ekavir Varkey,Mc Donalds,McSpicy,113.08,21
59,Arya Sunder,Biryani House,Hyderabadi Dum Biryani,162.41,14
60,Kevin Solanki,Burger King,Whopper Burger,72.76,44
61,Urvashi Ray,Dominos,Pepperoni Pizza,466.87,25
62,Girindra Chatterjee,Subway,Italian BMT,268.54,23
63,Irya Sampath,Spice Kitchen,Chana Masala,124.09,10
64,Unni Bhagat,Spice Kitchen,Paneer Curry,466.93,60
65,Darsh Rau,Burger King,Spicy Burger,240.35,56
66,Ikbal Kothari,Pasta Corner,Lasagna,119.66,28
67,Ranveer Yadav,KFC,Chicken Bucket,310.63,44
68,Logan Sami,Dominos,Veggie Pizza,75.72,47
69,Arya Shere,Burger King,Crispy Veg Burger,75.6,42
70,Faqid Savant,Pizza Hut,Super Cheese Pizza,80.83,14
71,Chandresh Zachariah,Noodle Paradise,Lo Mein,231.7,46
72,Girik Khalsa,KFC,Chicken Bucket,328.72,36
73,Niharika Sunder,Noodle Paradise,Pad Thai,470.62,23
74,Tanay Rattan,Noodle Paradise,Pad Thai,157.41,35
75,Nitesh Raghavan,Subway,Turkey Sub,255.75,58
76,Madhavi Lanka,Pizza Hut,Cheese Pizza,256.23,46
77,Bhavika Sampath,Pizza Hut,Cheese Pizza,291.94,42
78,Mohammed Gupta,Biryani House,Mutton Biryani,469.97,14
79,Teerth Bhardwaj,KFC,Zinger Burger,178.24,38
80,Dipta Bhandari,Mc Donalds,McVeggie,325.25,51
81,Vansha Thakkar,Mc Donalds,Big Mac,350.54,45
82,Dakshesh Trivedi,Biryani House,Chicken Biryani,472.52,18
83,Quincy Biswas,Biryani House,Chicken Biryani,450.37,57
84,Wahab Raval,Mc Donalds,Quarter Pounder,172.56,48
85,Yatin Baral,KFC,Zinger Burger,141.62,50
86,Oni Virk,Biryani House,Hyderabadi Dum Biryani,163.0,13
87,Advika Jayaraman,Pizza Hut,Chicken Pizza,423.21,12
88,William Lanka,Dominos,Veggie Pizza,397.0,50
89,Karan Mital,Biryani House,Mutton Biryani,383.55,45
90,Diya Bora,Dragon Wok,Hakka Noodles,302.41,17
91,Tara Chaudhry,Pizza Hut,Super Cheese Pizza,295.52,33
92,Tanay Toor,Taco Bell,Soft Taco,243.4,12
93,Kevin Palla,Biryani House,Vegetable Biryani,454.54,60
94,Yash Pingle,Dominos,Veggie Pizza,144.53,25
95,Nakul Sarma,Noodle Paradise,Ramen,209.16,45
96,Abhiram Mistry,Spice Kitchen,Aloo Gobi,466.59,25
97,Krish Lalla,Subway,Chicken Sub,446.64,11
98,Hredhaan Dugal,Subway,Turkey Sub,402.07,36
99,Baghyawati Kade,Pasta Corner,Penne Arrabbiata,170.06,60
100,Samar Lalla,Dragon Wok,Fried Rice,222.14,12
101,Zayan Behl,Burger King,Crispy Veg Burger,139.81,39
102,Pallavi Malhotra,Taj Mahal,Butter Chicken,419.24,24
103,Aarush Nath,KFC,Chicken Bucket,347.01,35
104,Adweta Edwin,Taj Mahal,Butter Chicken,438.96,59
105,Prisha Andra,Biryani House,Vegetable Biryani,338.67,35
106,Faqid Dixit,Noodle Paradise,Pad Thai,472.66,17
107,Kala Divan,Biryani House,Mutton Biryani,311.27,26
108,Joshua Barman,Dominos,Pepperoni Pizza,318.46,32
109,Janya Baral,Dragon Wok,Schezwan Rice,246.38,42
110,Shivansh Krish,Pizza Hut,Chicken Pizza,454.78,22
111,Irya Ray,Biryani House,Chicken Biryani,368.95,10
112,Warjas Gaba,Mc Donalds,Quarter Pounder,213.9,14
113,Nitara Bakshi,Noodle Paradise,Pad Thai,330.42,52
114,Gaurangi Sabharwal,Pizza Hut,Paneer Pizza,278.21,52
115,Amara Dutta,Spice Kitchen,Paneer Curry,231.08,28
116,Lavanya Barad,Mc Donalds,Quarter Pounder,136.33,52
117,Tristan Iyengar,Spice Kitchen,Aloo Gobi,326.98,29
118,Inaya Mody,Spice Kitchen,Chana Masala,186.74,23
119,Udant Bajwa,Spice Kitchen,Paneer Curry,259.24,38
120,Mohini Narasimhan,Noodle Paradise,Lo Mein,280.03,60
121,Ekaraj Mallick,Pasta Corner,Penne Arrabbiata,346.48,28
122,Yashodhara Ratta,Mc Donalds,McVeggie,92.02,58
123,Ayaan D’Alia,KFC,Zinger Burger,151.09,22
124,Pranav Lanka,Subway,Veggie Sub,70.8,40
125,Ikbal Saraf,Taco Bell,Crunchy Taco,254.94,50
126,Dipta Sarin,Taco Bell,Soft Taco,373.26,34
127,Lekha Gupta,Burger King,Royal Burger,159.79,51
128,Chaitanya Sarin,Dragon Wok,Fried Rice,451.7,59
129,Zinal Yohannan,Pizza Hut,Chicken Pizza,148.48,54
130,Januja Sankar,Mc Donalds,McSpicy,72.6,25
131,Ganga Murthy,Pizza Hut,Chicken Pizza,110.0,39
132,Charita Tripathi,Noodle Paradise,Pad Thai,477.52,38
133,Nilima Narain,Taco Bell,Quesadilla,423.76,45
134,Chakrika Datta,Burger King,Crispy Veg Burger,384.64,40
135,Osha Raghavan,Burger King,Spicy Burger,388.3,50
136,Charvi Ravi,Biryani House,Hyderabadi Dum Biryani,332.04,27
137,Daksha Mangat,Burger King,Whopper Burger,371.1,25
138,Qushi Nagy,Biryani House,Vegetable Biryani,193.87,44
139,Riya Sathe,Pizza Hut,Super Cheese Pizza,117.87,34
140,Yasti Solanki,Dragon Wok,Egg Noodles,367.89,14
141,Frado Mander,Spice Kitchen,Rogan Josh,198.9,39
142,Girik Keer,Spice Kitchen,Chana Masala,143.08,36
143,Umang Issac,Spice Kitchen,Chana Masala,435.53,58
144,Aryan Batra,Taco Bell,Quesadilla,264.64,32
145,Vaishnavi Bora,Biryani House,Hyderabadi Dum Biryani,434.05,36
146,Oeshi Hayer,Mc Donalds,Quarter Pounder,269.7,27
147,Warda Ratta,Spice Kitchen,Rogan Josh,63.06,31
148,Manbir Ahluwalia,Noodle Paradise,Chow Mein,375.88,39
149,Pavani Kanda,Subway,Veggie Sub,458.12,47
150,Zarna Shetty,Taco Bell,Crunchy Taco,87.78,37
151,Zaid Dara,Subway,Italian BMT,131.78,26
152,Kiaan Shetty,Spice Kitchen,Paneer Curry,145.25,30
153,Saanvi Thaman,Taj Mahal,Dal Makhani,175.22,36
154,Sanaya Dutt,Biryani House,Chicken Biryani,261.64,57
155,Shivani Lad,Mc Donalds,Big Mac,499.96,32
156,Aradhana Verma,KFC,Chicken Bucket,401.55,51
157,William Maharaj,Dominos,Pepperoni Pizza,477.33,22
158,Faras Mangal,Dominos,Margherita Pizza,157.35,40
159,Anita Nayak,Noodle Paradise,Ramen,303.79,23
160,Faris Devi,Burger King,Spicy Burger,395.1,20
161,Vihaan Rajagopal,Taco Bell,Crunchy Taco,400.01,20
162,Tanish Bhatt,Biryani House,Chicken Biryani,310.41,29
163,Nikita Narayanan,Taco Bell,Quesadilla,228.49,55
164,Ojasvi Bhatia,KFC,Chicken Bucket,316.44,50
165,Osha Ramachandran,KFC,Chicken Bucket,363.74,29
166,Lajita Sood,Noodle Paradise,Ramen,408.3,46
167,Indira Misra,Pasta Corner,Spaghetti Carbonara,206.24,37
168,Oni Yohannan,Noodle Paradise,Pad Thai,81.03,51
169,Vinaya Kanda,Taj Mahal,Paneer Tikka,432.31,41
170,Rajata Sunder,Pizza Hut,Chicken Pizza,482.35,50
171,Lopa Nayar,Burger King,Crispy Veg Burger,245.97,56
172,Noah Sibal,Mc Donalds,McVeggie,327.16,44
173,Avi Ramesh,Pasta Corner,Lasagna,259.19,56
174,Fiyaz Sangha,Taco Bell,Burrito,195.04,25
175,Triya Gopal,Pizza Hut,Paneer Pizza,446.73,25
176,Abha Raghavan,Pasta Corner,Lasagna,306.43,52
177,Siddharth Sha,Spice Kitchen,Paneer Curry,62.91,30
178,Geetika Raghavan,Subway,Italian BMT,145.45,26
179,Oviya Krishnan,Taj Mahal,Butter Chicken,446.14,54
180,Upma Bahl,Biryani House,Chicken Biryani,282.48,22
181,Inaya Kapur,Pizza Hut,Super Cheese Pizza,374.03,41
182,Banjeet Balasubramanian,Mc Donalds,Quarter Pounder,360.77,51
183,Ryan Bahri,Dragon Wok,Hakka Noodles,251.68,11
184,William Date,Pizza Hut,Paneer Pizza,149.72,54
185,Ishwar Kamdar,KFC,Zinger Burger,348.78,33
186,Aahana Pillay,Burger King,Spicy Burger,241.48,57
187,Ishwar Gade,Mc Donalds,McVeggie,208.31,39
188,Hritik Bal,Biryani House,Vegetable Biryani,163.13,17
189,Keya Ranganathan,Dragon Wok,Egg Noodles,192.0,57
190,Faqid Kibe,Mc Donalds,Quarter Pounder,136.19,57
191,Charvi Dara,Burger King,Spicy Burger,376.06,58
192,Idika Walia,Mc Donalds,McVeggie,491.23,22
193,Kamala Biswas,Biryani House,Mutton Biryani,212.4,29
194,Advik Salvi,Dominos,Margherita Pizza,173.44,13
195,Hitesh Sant,Mc Donalds,McVeggie,363.84,18
196,Tripti Dua,Noodle Paradise,Chow Mein,96.16,10
197,Patrick Vig,Taco Bell,Burrito,261.23,38
198,Veda Shroff,Taj Mahal,Tandoori Chicken,484.47,26
199,Amrita Naidu,Burger King,Whopper Burger,419.95,35
200,Gabriel Mallick,Burger King,Whopper Burger,309.66,53
201,Yagnesh Shetty,Dominos,Margherita Pizza,117.14,46
202,Gayathri Balakrishnan,Biryani House,Chicken Biryani,497.26,17
203,Ekta Gopal,Mc Donalds,McSpicy,322.84,60
204,Simon Pant,Taco Bell,Soft Taco,399.06,34
205,Harini Mammen,Burger King,Royal Burger,183.81,47
206,Advaith Varughese,Spice Kitchen,Paneer Curry,305.88,13
207,Frederick Khurana,Taco Bell,Crunchy Taco,476.42,23
208,Vrinda Khosla,Noodle Paradise,Lo Mein,169.09,15
209,Vritti Sem,Subway,Chicken Sub,128.22,14
210,Girik Menon,Subway,Veggie Sub,233.83,54
211,Nidhi Kohli,Taco Bell,Quesadilla,181.07,24
212,Jyoti Solanki,Biryani House,Vegetable Biryani,366.34,39
213,Pavani Narayanan,Pizza Hut,Super Cheese Pizza,465.76,60
214,Sudiksha Madan,Pasta Corner,Penne Arrabbiata,241.31,44
215,Zayan Kashyap,KFC,Chicken Strips,458.79,19
216,Reyansh Mutti,Pizza Hut,Cheese Pizza,124.67,29
217,Qasim Handa,Taco Bell,Burrito,247.62,39
218,Veda Malhotra,Dragon Wok,Schezwan Rice,364.88,27
219,Harish Hari,Mc Donalds,McSpicy,246.99,48
220,Utkarsh Patel,Dominos,BBQ Chicken Pizza,380.54,48
221,Chasmum Atwal,Biryani House,Chicken Biryani,91.1,53
222,Anusha Bath,Taco Bell,Crunchy Taco,499.81,53
223,Brinda Date,Biryani House,Chicken Biryani,393.4,21
224,Harshil Arora,Burger King,Royal Burger,462.23,21
225,Upasna Srinivas,Taco Bell,Quesadilla,335.65,41
226,Harini Gour,Pizza Hut,Chicken Pizza,206.58,31
227,Zayyan Sridhar,Taj Mahal,Paneer Tikka,435.98,31
228,Dhruv Rattan,Spice Kitchen,Rogan Josh,179.7,35
229,Ethan Bera,Pasta Corner,Spaghetti Carbonara,254.67,30
230,Manthan Modi,Biryani House,Vegetable Biryani,102.16,59
231,Yuvraj Dani,Spice Kitchen,Chana Masala,345.95,44
232,Upkaar Virk,Burger King,Royal Burger,74.39,43
233,Shravya Savant,Taj Mahal,Dal Makhani,331.43,58
234,Pushti Mody,Dominos,Margherita Pizza,170.18,18
235,Hardik Johal,Biryani House,Hyderabadi Dum Biryani,446.38,41
236,Aishani Bumb,Pizza Hut,Cheese Pizza,487.92,48
237,Wriddhish Ghose,Pasta Corner,Penne Arrabbiata,369.4,29
238,Naksh Agate,Mc Donalds,Big Mac,298.51,15
239,Shravya Singhal,KFC,Chicken Bucket,257.65,17
240,Bachittar Kata,Noodle Paradise,Lo Mein,274.27,55
241,Barkha Setty,Biryani House,Vegetable Biryani,236.97,40
242,Vivaan Lalla,Burger King,Crispy Veg Burger,255.55,19
243,Pavani Contractor,Spice Kitchen,Aloo Gobi,464.84,42
244,Manthan Lata,Dragon Wok,Egg Noodles,438.81,27
245,Ekbal Bhasin,Pasta Corner,Lasagna,202.94,60
246,Damyanti Mani,Mc Donalds,McVeggie,419.25,28
247,Jeet Sidhu,Dragon Wok,Schezwan Rice,426.86,47
248,Neha Magar,Noodle Paradise,Chow Mein,439.37,38
249,Raksha Buch,Mc Donalds,McSpicy,205.31,45
250,Rachana Naidu,Pasta Corner,Lasagna,254.91,30
251,Atharv Chand,KFC,Chicken Strips,307.31,24
252,Ansh Luthra,Pasta Corner,Lasagna,69.64,57
253,Parth Singhal,Burger King,Royal Burger,223.74,52
254,Arunima Golla,Pasta Corner,Penne Arrabbiata,272.9,12
255,Vyanjana Chand,Subway,Turkey Sub,441.37,38
256,Ijaya Rege,Pizza Hut,Chicken Pizza,56.91,19
257,Ekani Cheema,Spice Kitchen,Aloo Gobi,83.67,60
258,Forum Sabharwal,Biryani House,Vegetable Biryani,330.47,35
259,Bhavya Rattan,Noodle Paradise,Ramen,433.29,53
260,Suhani Chakrabarti,Mc Donalds,McSpicy,479.36,50
261,Zayyan Naik,Dragon Wok,Hakka Noodles,442.57,12
262,Netra Varkey,Taco Bell,Crunchy Taco,155.65,53
263,Turvi Sachdev,Biryani House,Mutton Biryani,386.04,37
264,Raghav Vasa,Pizza Hut,Cheese Pizza,249.66,54
265,Wishi Sathe,Biryani House,Chicken Biryani,70.7,60
266,Samar Loke,Dominos,Veggie Pizza,211.31,37
267,Bhavna Sarma,Subway,Chicken Sub,289.02,46
268,Jairaj Balakrishnan,Noodle Paradise,Lo Mein,126.49,15
269,Nathan Mukhopadhyay,Taco Bell,Quesadilla,328.87,25
270,Nikita Chander,Burger King,Crispy Veg Burger,154.48,50
271,Ishaan Shenoy,Biryani House,Hyderabadi Dum Biryani,164.9,10
272,Mitesh Tara,Pasta Corner,Lasagna,455.54,53
273,Yashodhara Mahajan,Mc Donalds,Quarter Pounder,83.24,32
274,Vasudha Sodhi,Taco Bell,Burrito,337.52,37
275,Tanmayi Dhillon,Dragon Wok,Schezwan Rice,255.58,29
276,Rayaan Trivedi,KFC,Chicken Wings,434.0,16
277,Ekaraj Majumdar,KFC,Chicken Wings,307.37,46
278,Harini Tripathi,Biryani House,Vegetable Biryani,59.87,52
279,Aarnav Mandal,Spice Kitchen,Paneer Curry,53.64,53
280,Vrishti Dixit,Pasta Corner,Spaghetti Carbonara,459.78,57
281,Veda Pai,Burger King,Spicy Burger,399.08,24
282,Krishna Shah,Taco Bell,Burrito,148.55,22
283,Ranbir Khare,Taco Bell,Burrito,354.99,56
284,Vivaan Roy,Pasta Corner,Penne Arrabbiata,332.71,50
285,Eesha Solanki,Noodle Paradise,Ramen,189.02,38
286,Libni Doshi,Dominos,Veggie Pizza,379.56,15
287,Balhaar Date,Biryani House,Vegetable Biryani,386.37,21
288,Harish Sarraf,KFC,Chicken Strips,403.93,33
289,Tanmayi Aurora,Mc Donalds,McVeggie,423.71,26
290,Nimrat Dubey,Burger King,Spicy Burger,385.95,31
291,Upasna Lanka,Pasta Corner,Spaghetti Carbonara,260.75,14
292,Mitali Buch,Subway,Chicken Sub,437.06,56
293,Lajita Nadig,Noodle Paradise,Chow Mein,485.27,45
294,Balendra Biswas,Taj Mahal,Paneer Tikka,405.81,10
295,Bhavna Karan,Biryani House,Chicken Biryani,254.65,53
296,Radha Chaudhari,Dragon Wok,Schezwan Rice,313.05,50
297,Sachi Ganesan,Taj Mahal,Paneer Tikka,353.68,40
298,Ayush Batra,Dominos,Veggie Pizza,461.87,24
299,Daksh Memon,Noodle Paradise,Ramen,335.93,39
300,Kavya Sankar,Dragon Wok,Schezwan Rice,342.16,17
301,Yash Wali,Subway,Veggie Sub,475.82,29
302,Pranit Garde,Burger King,Whopper Burger,93.74,44
303,Farhan Raja,Subway,Italian BMT,254.14,52
304,Widisha Dhar,Dragon Wok,Hakka Noodles,314.3,56
305,Triya Kumar,Subway,Italian BMT,344.71,41
306,Aadhya Andra,Taco Bell,Quesadilla,472.57,27
307,Bhavna Dugar,Dominos,Veggie Pizza,147.77,38
308,Riya Pai,KFC,Zinger Burger,94.71,53
309,Panini Krishna,Taj Mahal,Butter Chicken,77.25,27
310,Chasmum Issac,KFC,Chicken Bucket,477.05,39
311,Vasudha Chhabra,Pizza Hut,Super Cheese Pizza,338.77,48
312,Lakshmi Parmer,Dominos,Pepperoni Pizza,404.06,25
313,Chakrika Bains,Subway,Chicken Sub,80.87,58
314,Anvi Anand,Mc Donalds,Quarter Pounder,313.87,24
315,Watika Mangat,Taj Mahal,Tandoori Chicken,404.89,48
316,Indira Kanda,Dominos,Veggie Pizza,436.28,19
317,Zashil Devan,Subway,Turkey Sub,409.33,17
318,Balveer More,Noodle Paradise,Ramen,109.31,32
319,Bahadurjit Patla,Pasta Corner,Penne Arrabbiata,314.98,11
320,Gautam Merchant,Subway,Turkey Sub,73.58,57
321,Ojasvi Gill,Spice Kitchen,Chana Masala,385.55,40
322,Kevin Zacharia,Burger King,Spicy Burger,280.96,16
323,Yachana Mahajan,Burger King,Crispy Veg Burger,475.44,12
324,Aarini Subramaniam,Dragon Wok,Schezwan Rice,256.12,11
325,Hamsini Contractor,Dominos,BBQ Chicken Pizza,431.28,37
326,Faqid Dhaliwal,Noodle Paradise,Ramen,270.62,38
327,Mekhala Pau,Pizza Hut,Cheese Pizza,194.95,19
328,Megha Atwal,Pizza Hut,Super Cheese Pizza,173.76,50
329,Jatin Sha,Taco Bell,Burrito,221.41,48
330,Adweta Raj,Mc Donalds,McVeggie,254.17,48
331,Hritik Kaur,Spice Kitchen,Chana Masala,406.89,17
332,Aryan Narang,Noodle Paradise,Lo Mein,243.53,24
333,Dev Shetty,Spice Kitchen,Paneer Curry,422.34,35
334,Nilima Dada,Spice Kitchen,Chana Masala,190.65,30
335,Chakradev Barad,Noodle Paradise,Pad Thai,218.44,19
336,Waida D’Alia,Noodle Paradise,Chow Mein,80.21,15
337,Wahab Yogi,Pizza Hut,Chicken Pizza,93.45,57
338,Lipika Setty,Taj Mahal,Tandoori Chicken,300.37,47
339,Oni Dubey,Mc Donalds,McVeggie,351.51,36
340,Hardik Suri,Taj Mahal,Dal Makhani,440.64,56
341,Ati Bali,Dominos,Veggie Pizza,320.18,32
342,Teerth Sawhney,Pizza Hut,Super Cheese Pizza,119.63,40
343,Warinder Patil,KFC,Chicken Bucket,207.55,45
344,Jhalak Parmer,Taj Mahal,Paneer Tikka,393.17,46
345,Mitali Majumdar,KFC,Chicken Wings,430.32,59
346,Jason Sha,Taco Bell,Crunchy Taco,324.05,52
347,Simon Bail,Dragon Wok,Schezwan Rice,63.03,27
348,Gauri Kohli,Dragon Wok,Schezwan Rice,464.69,32
349,Samesh Biswas,Dominos,Margherita Pizza,441.44,46
350,Tarak Kaul,Noodle Paradise,Chow Mein,81.31,57
351,Manbir Agate,Noodle Paradise,Ramen,91.29,43
352,Maanav De,KFC,Chicken Wings,238.92,31
353,Owen Choudhary,Subway,Turkey Sub,190.24,30
354,Karan Aurora,Pasta Corner,Spaghetti Carbonara,447.5,19
355,Wazir Naik,Subway,Veggie Sub,353.29,27
356,Owen Lanka,Burger King,Royal Burger,268.55,38
357,Jonathan Sama,Spice Kitchen,Paneer Curry,147.01,42
358,Devansh Soni,Pizza Hut,Paneer Pizza,243.46,28
359,Janaki Varghese,Noodle Paradise,Chow Mein,287.12,29
360,Siya Thakur,Dominos,Margherita Pizza,227.87,48
361,Caleb Verma,Dominos,Pepperoni Pizza,141.99,23
362,Tara Balasubramanian,Pasta Corner,Penne Arrabbiata,393.87,28
363,Varenya Ratti,Taj Mahal,Paneer Tikka,53.48,57
364,Hritik Swaminathan,Spice Kitchen,Aloo Gobi,108.13,44
365,Ethan Buch,Dragon Wok,Egg Noodles,275.12,52
366,Manbir Bhatti,Pasta Corner,Fettuccine Alfredo,82.43,57
367,Anvi Nair,Dominos,BBQ Chicken Pizza,58.43,14
368,Chaitaly Setty,Taj Mahal,Dal Makhani,308.03,55
369,Hardik Contractor,Noodle Paradise,Chow Mein,180.28,35
370,Qushi Seth,Dominos,Veggie Pizza,127.34,49
371,Odika Nori,Burger King,Spicy Burger,89.66,16
372,Mohini Sagar,KFC,Chicken Wings,314.99,43
373,Dhriti Sane,Pizza Hut,Chicken Pizza,441.74,57
374,Aadhya Prasad,Taj Mahal,Tandoori Chicken,199.88,20
375,Urvi Bhavsar,Pizza Hut,Cheese Pizza,288.77,22
376,Frederick Chander,Pasta Corner,Fettuccine Alfredo,207.99,51
377,Gopal Pradhan,Subway,Chicken Sub,96.26,26
378,Darpan Narayan,KFC,Chicken Strips,321.08,58
379,Nirja Pandya,Pasta Corner,Spaghetti Carbonara,129.72,59
380,Charan Mani,Noodle Paradise,Chow Mein,258.78,46
381,Indira Chawla,Pasta Corner,Lasagna,356.51,46
382,Mohammed Subramaniam,Noodle Paradise,Pad Thai,438.91,50
383,Hritik Palla,Taj Mahal,Tandoori Chicken,247.89,40
384,Ishwar Mallick,Burger King,Spicy Burger,408.35,47
385,Pushti Bal,Dominos,Veggie Pizza,278.3,29
386,Ayush Gole,Burger King,Royal Burger,66.92,33
387,Dayamai Nori,Biryani House,Chicken Biryani,340.1,15
388,Abeer Golla,Taco Bell,Quesadilla,258.22,45
389,Nandini Boase,Pasta Corner,Spaghetti Carbonara,252.38,46
390,Azaan Chand,Noodle Paradise,Lo Mein,194.69,40
391,Krisha Saini,Mc Donalds,Quarter Pounder,480.98,38
392,Harita Dugar,Pizza Hut,Paneer Pizza,492.07,15
393,Devika Nair,Mc Donalds,Quarter Pounder,67.61,55
394,Charles Dugal,Burger King,Royal Burger,285.83,49
395,Chandran Bumb,Subway,Turkey Sub,217.78,28
396,Saanvi Samra,Spice Kitchen,Rogan Josh,398.51,53
397,Riya Sachdeva,Taco Bell,Crunchy Taco,405.15,51
398,Tanveer Vala,Taj Mahal,Paneer Tikka,198.36,45
399,Hemani Sani,Noodle Paradise,Chow Mein,177.87,56
400,Bhanumati Sur,Noodle Paradise,Lo Mein,200.01,47
401,Brett Herbert,Noodle Paradise,Lo Mein,462.54,29
402,Andrea Robinson,Noodle Paradise,Chow Mein,108.03,55
403,Sarah Martin,Pizza Hut,Paneer Pizza,301.51,51
404,Diane Miller,Pasta Corner,Fettuccine Alfredo,415.93,52
405,Maureen O'Neill-Stephenson,Dragon Wok,Fried Rice,340.71,37
406,Ms Emily Palmer,Mc Donalds,McVeggie,58.2,29
407,Geoffrey Knight-Lee,Subway,Chicken Sub,203.78,59
408,Dr Alan Frost,Burger King,Crispy Veg Burger,151.94,18
409,Michael Williams-Nicholls,Subway,Veggie Sub,183.11,60
410,Sally Allen,Pizza Hut,Cheese Pizza,347.87,59
411,Reece Ellis,Taco Bell,Soft Taco,318.76,19
412,Miss Amy Gibbons,Subway,Chicken Sub,424.11,59
413,Ms Rosie Nicholls,Taco Bell,Soft Taco,374.53,12
414,Jeremy Nicholson-Watts,Spice Kitchen,Paneer Curry,354.36,25
415,Marion Fox,Burger King,Spicy Burger,388.58,60
416,Simon Byrne,Burger King,Crispy Veg Burger,290.31,29
417,Judith Morton-Marsh,Pasta Corner,Lasagna,456.79,22
418,Kathryn Parkinson,Taj Mahal,Dal Makhani,257.76,28
419,Conor O'Connor,Pasta Corner,Lasagna,276.31,36
420,Dr Clive Wood,Subway,Chicken Sub,410.57,18
421,Mr Terence Webb,Biryani House,Chicken Biryani,338.53,33
422,Sandra Coleman-Gould,Mc Donalds,Big Mac,370.13,43
423,Mr Craig Watson,Pizza Hut,Paneer Pizza,87.74,20
424,Louis Hall,Biryani House,Hyderabadi Dum Biryani,457.39,19
425,Gregory Patterson,Spice Kitchen,Chana Masala,475.89,24
426,Danny Woods,Burger King,Spicy Burger,468.71,36
427,Shaun Taylor,Dominos,BBQ Chicken Pizza,275.9,25
428,Charles Hayes,Spice Kitchen,Chana Masala,218.71,11
429,Marie Williams,Taj Mahal,Paneer Tikka,427.63,51
